,id,l1,l2,l3,rooms,bedrooms,bathrooms,surface_total,surface_covered,price
0,0,Argentina,Capital Federal,Palermo,2.0,1.0,1.0,80.0,,235000
1,1,Argentina,Capital Federal,Belgrano,,,1.0,,40.0,105000
2,2,Argentina,Capital Federal,San Telmo,1.0,,1.0,34.0,31.0,109183
3,3,Argentina,Capital Federal,Villa Urquiza,2.0,,1.0,,51.0,110000
4,4,Argentina,Capital Federal,Belgrano,6.0,4.0,2.0,190.0,178.0,550000
5,5,Argentina,Capital Federal,Belgrano,4.0,3.0,2.0,240.0,,750000
6,6,Argentina,Capital Federal,Palermo,4.0,3.0,2.0,240.0,,750000
7,7,Argentina,Capital Federal,Puerto Madero,3.0,2.0,3.0,161.0,149.0,1600000
8,8,Argentina,Capital Federal,Palermo,2.0,1.0,1.0,38.0,38.0,132000
9,9,Argentina,Capital Federal,Palermo,3.0,2.0,1.0,80.0,75.0,245000
10,10,Argentina,Capital Federal,Villa del Parque,1.0,1.0,1.0,44.0,41.0,86000
11,11,Argentina,Capital Federal,Villa Santa Rita,2.0,1.0,1.0,73.0,46.0,110000
12,12,Argentina,Capital Federal,Villa Urquiza,2.0,1.0,1.0,47.0,47.0,99000
13,13,Argentina,Capital Federal,Villa Urquiza,1.0,1.0,1.0,45.0,31.0,99000
14,14,Argentina,Capital Federal,San Telmo,2.0,1.0,1.0,48.0,44.0,111324
15,15,Argentina,Capital Federal,San Telmo,2.0,1.0,1.0,48.0,44.0,113464
16,16,Argentina,Capital Federal,San Telmo,2.0,1.0,1.0,34.0,31.0,107042
17,17,Argentina,Capital Federal,Palermo,3.0,2.0,1.0,58.0,55.0,169000
18,18,Argentina,Capital Federal,Belgrano,2.0,1.0,1.0,52.0,52.0,171000
19,19,Argentina,Capital Federal,Palermo,4.0,3.0,1.0,,123.0,387066
20,20,Argentina,Capital Federal,Belgrano,,,1.0,,35.0,115500
21,21,Argentina,Capital Federal,Belgrano,1.0,,1.0,42.0,42.0,131300
22,22,Argentina,Capital Federal,Belgrano,1.0,,1.0,39.0,39.0,139300
23,23,Argentina,Capital Federal,Belgrano,1.0,,1.0,37.0,37.0,107000
24,24,Argentina,Capital Federal,Belgrano,1.0,,1.0,42.0,42.0,133900
25,25,Argentina,Capital Federal,Balvanera,2.0,1.0,,50.0,42.0,144944
26,26,Argentina,Capital Federal,Belgrano,,,1.0,60.0,49.0,148400
27,27,Argentina,Capital Federal,Palermo,2.0,1.0,1.0,,,298000
28,28,Argentina,Capital Federal,Palermo,4.0,3.0,1.0,148.0,148.0,398000
29,29,Argentina,Capital Federal,Palermo,1.0,,1.0,37.0,37.0,130000
30,30,Argentina,Capital Federal,Palermo,1.0,,1.0,35.0,35.0,120000
31,31,Argentina,Capital Federal,Belgrano,1.0,,1.0,27.0,23.0,83700
32,32,Argentina,Capital Federal,Belgrano,1.0,,1.0,42.0,42.0,123700
33,33,Argentina,Capital Federal,Belgrano,2.0,1.0,1.0,58.0,49.0,148400
34,34,Argentina,Capital Federal,Belgrano,2.0,1.0,1.0,52.0,52.0,174500
35,35,Argentina,Capital Federal,Palermo,4.0,3.0,2.0,240.0,,750000
36,36,Argentina,Capital Federal,Balvanera,2.0,1.0,,50.0,42.0,133840
37,37,Argentina,Capital Federal,Villa Devoto,2.0,1.0,1.0,69.0,46.0,135000
38,38,Argentina,Capital Federal,Boedo,1.0,1.0,1.0,40.0,35.0,75000
39,39,Argentina,Capital Federal,Villa Crespo,2.0,1.0,1.0,,47.0,135000
