edad;trabajo;civil;educacion;defecto;deposito;propiedad;prestamo;contacto;dia;mes;duracion;campaña;pdias;previo;presultado;y
58;gerente;casado;terciaria;no;2143;si;no;desconocido;5;may;261;1;-1;0;desconocido;no
44;tecnico;soltero;secundaria;no;29;si;no;desconocido;5;may;151;1;-1;0;desconocido;no
33;emprendedor;casado;secundaria;no;2;si;si;desconocido;5;may;76;1;-1;0;desconocido;no
47;collar azul;casado;desconocido;no;1506;si;no;desconocido;5;may;92;1;-1;0;desconocido;no
33;desconocido;soltero;desconocido;no;1;no;no;desconocido;5;may;198;1;-1;0;desconocido;no
35;gerente;casado;terciaria;no;231;si;no;desconocido;5;may;139;1;-1;0;desconocido;no
28;gerente;soltero;terciaria;no;447;si;si;desconocido;5;may;217;1;-1;0;desconocido;no
42;emprendedor;divorciado;terciaria;si;2;si;no;desconocido;5;may;380;1;-1;0;desconocido;no
58;jubilado;casado;primaria;no;121;si;no;desconocido;5;may;50;1;-1;0;desconocido;no
43;tecnico;soltero;secundaria;no;593;si;no;desconocido;5;may;55;1;-1;0;desconocido;no
41;administrativo;divorciado;secundaria;no;270;si;no;desconocido;5;may;222;1;-1;0;desconocido;no
29;administrativo;soltero;secundaria;no;390;si;no;desconocido;5;may;137;1;-1;0;desconocido;no
53;tecnico;casado;secundaria;no;6;si;no;desconocido;5;may;517;1;-1;0;desconocido;no
58;tecnico;casado;desconocido;no;71;si;no;desconocido;5;may;71;1;-1;0;desconocido;no
57;servicios;casado;secundaria;no;162;si;no;desconocido;5;may;174;1;-1;0;desconocido;no
51;jubilado;casado;primaria;no;229;si;no;desconocido;5;may;353;1;-1;0;desconocido;no
45;administrativo;soltero;desconocido;no;13;si;no;desconocido;5;may;98;1;-1;0;desconocido;no
57;collar azul;casado;primaria;no;52;si;no;desconocido;5;may;38;1;-1;0;desconocido;no
60;jubilado;casado;primaria;no;60;si;no;desconocido;5;may;219;1;-1;0;desconocido;no
33;servicios;casado;secundaria;no;0;si;no;desconocido;5;may;54;1;-1;0;desconocido;no
28;collar azul;casado;secundaria;no;723;si;si;desconocido;5;may;262;1;-1;0;desconocido;no
56;gerente;casado;terciaria;no;779;si;no;desconocido;5;may;164;1;-1;0;desconocido;no
32;collar azul;soltero;primaria;no;23;si;si;desconocido;5;may;160;1;-1;0;desconocido;no
